FundataKey|AsOfDate|1MthReturn|3MthReturn|6MthReturn|YTDReturn|1YrSimpleReturn|3YrSimpleReturn|5YrSimpleReturn|10YrSimpleReturn|1YrCompoundReturn|3YrCompoundReturn|5YrCompoundReturn|10YrCompoundReturn|InceptionReturn|TotalDist|DistYield
39001|08/31/2020|0.954|6.396|4.487|5.708|6.54|9.861|13.44||6.54|8.113|7.595||8.245|0.4895|3.6441
39002|08/31/2020|0.708|7.219|5.402|7.155|8.091|11.182|14.123||8.091|9.272|8.436||8.692|0.502|3.5194
39003|08/31/2020|0.68|7.885|6.25|8.161|9.553|11.988|13.749||9.553|9.982|9.034||9.248|0.491|3.2988
39004|08/31/2020|0.829|8.163|6.75|7.457|9.916|12.583|13.29||9.916|9.941|9.176||9.395|0.456|3.0422
39005|08/31/2020|0.947|8.234|6.816|6.798|10.1|13.478|12.458||10.1|9.965|9.534||9.994|0.492|3.0905
39007|08/31/2020|2.807|9.615|2.865|-1.268|4.865|9.411|9.866||4.865|5.668|6.697||4.755|0.642|5.3621
39008|08/31/2020|-0.593|8.317|5.921|16.653|10.567|7.746|16.63||10.567|10.811|7.642||6.386|0.249|1.7338
39013|08/31/2020|0.292|2.68|0.565|-1.272|1.53|-0.735|8.509||1.53|2.294|3.526||4.226|0.538474|5.1569
39015|08/31/2020|0.263|2.592|0.396|-1.492|1.19|-1.069|8.131||1.19|1.95|3.174||3.867|0.50203|4.8291
39022|08/31/2020|2.338|10.609|3.657|-2.956|3.763|17.538|7.551||3.763|5.651|5.372||3.248|0.219826|1.8961
39024|08/31/2020|-1.072|2.343|3.962|7.686|6.054|1.475|6.004||6.054|5.62|4.451||4.734|0.298948|2.6086
39026|08/31/2020|-0.888|2.426|4.536|8.226|6.486|1.706|6.082||6.486|5.851|4.595||4.793|0.310906|2.6848
39027|08/31/2020|-0.893|2.474|4.443|8.222|6.427|1.721|6.218||6.427|5.852|4.616||4.289|0.4391|4.2672
39028|08/31/2020|-0.436|4.089|3.397|6.766|6.246|2.046|5.634||6.246|5.585|4.773||4.489|0.374582|3.2886
39030|08/31/2020|2.627|6.212|-1.528|-4.581|-1.465|5.029|12.189||-1.465|3.53|6.186||4.866|0.391351|3.7094
39032|08/31/2020|5.383|12.847|19.415|12.545|24.199|25.148|10.286||24.199|19.304|16.398||12.49|0.418062|1.7647
39034|08/31/2020|0.803|5.278|4.767|2.545|5.759|7.365|5.387||5.759|5.667|5.442||5.938|0.212761|1.5667
