FundataKey|Date|StyleBias|MktCapBias|ModDurationDate|ModDuration|AvgMaturity|ShortTermBond|MidTermBond|LongTermBond|AsOfDate|CreditRating
10974|07/31/2020||||||||||
10990|07/31/2020||||||||||
10991|07/31/2020|||07/31/2020|8.440279||33.22|21.29|45.36|07/31/2020|80
10994|07/31/2020||||||0|0|0||
10996|07/31/2020|Blend|Large||||||||
10997|07/31/2020|Growth|Large|07/31/2020|4.784424||10.76|6.76|5.31|07/31/2020|40
10998|07/31/2020||||||||||
10999|07/31/2020|Growth|Large||||||||
11007|07/31/2020|Growth|Large||||||||
11028|07/31/2020|Blend|Large|07/31/2020|7.108798||6.44|9.53|11.22|07/31/2020|60
11029|07/31/2020|Blend|Large||||||||
11032|07/31/2020|Growth|Large||||||||
11063|07/31/2020|Growth|Large|07/31/2020|7.291076||14.18|6.97|14.82|07/31/2020|70
11064|07/31/2020|Growth|Large|07/31/2020|5.976102||19.15|6.33|11.37|07/31/2020|60
11065|07/31/2020|Growth|Large|07/31/2020|6.724044||10.01|3.9|8.48|07/31/2020|70
11066|07/31/2020|Growth|Large|07/31/2020|6.724044||10.01|3.9|8.48|07/31/2020|70
11067|07/31/2020|Growth|Large|07/31/2020|4.881795||23.02|5.85|8.16|07/31/2020|60
11068|07/31/2020|Growth|Large|07/31/2020|3.967602||33.99|6.26|8.17|07/31/2020|70
11069|07/31/2020|Growth|Large|07/31/2020|3.876594||32.45|5.78|8.06||
11070|07/31/2020|Growth|Large|07/31/2020|6.473837||10.06|4.29|8.23|07/31/2020|50
11071|07/31/2020|Growth|Large|07/31/2020|6.724425||9.97|4.65|8.91|07/31/2020|50
11072|07/31/2020|||07/31/2020|4.868584||45.15|11.07|16.43|07/31/2020|70
11073|07/31/2020|||07/31/2020|4.757611||44.2|10.89|15.68|07/31/2020|60
11074|07/31/2020|Growth|Large|07/31/2020|3.110749||36.38|5.11|5.06||
11075|07/31/2020|Growth|Large|07/31/2020|6.859408||17.53|7.48|15.81|07/31/2020|70
11076|07/31/2020|Growth|Large|07/31/2020|5.260435||24.2|6.38|10.81|07/31/2020|60
11077|07/31/2020|Growth|Large|07/31/2020|6.603258||10.42|4.1|8.52|07/31/2020|50
11078|07/31/2020|Growth|Large|07/31/2020|6.459493||10.7|4.01|8.33|07/31/2020|50
11079|07/31/2020|Growth|Large|07/31/2020|3.476863||43.99|7.19|6.9|07/31/2020|70
11080|07/31/2020|Growth|Large|07/31/2020|3.411146||42.68|6.81|6.87|07/31/2020|70
11088|05/31/2020|Blend|Large|||10.23|4.86|8.62|20.38||
11089|05/31/2020|Blend|Large||||||||
11090|05/31/2020|Blend|Large||||||||
11118|05/31/2020|Blend|Large|||10.23|4.86|8.62|20.38||
11122|05/31/2020|Blend|Large||||||||
11123|05/31/2020|Blend|Large||||||||
11124|05/31/2020|Blend|Large|||10.23|4.86|8.62|20.38||
11127|05/31/2020|Blend|Large||||||||
11128|05/31/2020|Blend|Large||||||||
11134|05/31/2020|Blend|Large|||10.23|4.86|8.62|20.38||
11138|05/31/2020|Blend|Large||||||||
11139|05/31/2020|Blend|Large||||||||
11140|05/31/2020|Blend|Large||||||||
11141|05/31/2020|Blend|Large||||||||
11142|05/31/2020|Blend|Large||||||||
11143|05/31/2020|Blend|Large||||||||
11144|03/31/2020|Value|Small||||||||
11147|05/31/2020|Blend|Large||||||||
11155|07/31/2020|Growth|Small||||||||
11158|07/31/2020|Growth|Large||||||||
11161|07/31/2020|Growth|Large|07/31/2020|7.27969|12.48|7.92|2.23|6.47|07/31/2020|70
11162|07/31/2020|Growth|Large|07/31/2020|7.416198||14.39|7.9|14.64|07/31/2020|60
11165|07/31/2020|Growth|Large||||||||
11166|07/31/2020|Growth|Large|07/31/2020|6.071588|12.56|20.38|5.37|12.67|07/31/2020|60
11168|07/31/2020|||07/31/2020|2.641361|2.91|65.21|14.83||07/31/2020|60
11169|07/31/2020|Growth|Large||||||||
11170|07/31/2020||||||||||
11171|07/31/2020|||07/31/2020|8.291667|12.83|35.71|19.07|44.78|07/31/2020|60
