FundataKey|AsOfDate|TotalDist-CurrMth|TotalDist-YTD|TotalDist-12Mth|DistYield|DivDist-CurrMth|DivDist-YTD|DivDist-12Mth|FgnDivDist-CurrMth|FgnDivDist-YTD|FgnDivDist-12Mth|CapGainsDist-CurrMth|CapGainsDist-YTD|CapGainsDist-12Mth|IntIncDist-CurrMth|IntIncDist-YTD|IntIncDist-12Mth|RtnPrinciple-CurrMth|RtnPrinciple-YTD|RtnPrinciple-12Mth|DistFrequency
16565|08/31/2020||0.076039|0.076039|0.431||||||||0.076039|0.076039|||||||Annual
16566|08/31/2020||0.0578683|0.0578683|0.4277||||||||0.0578683|0.0578683|||||||Annual
16569|08/31/2020||0.012716|0.012716|0.1001||0.012716|0.012716|||||||||||||Annual
16570|08/31/2020||0.0096773|0.0096773|0.0994||0.0096773|0.0096773|||||||||||||Annual
16571|08/31/2020||0.011952|0.011952|0.1003||0.011952|0.011952|||||||||||||Annual
16572|08/31/2020||0.0090959|0.0090959|0.0995||0.0090959|0.0090959|||||||||||||Annual
16584|08/31/2020||||||||||||||||||||Annual
16585|08/31/2020||||||||||||||||||||Annual
16593|08/31/2020||||||||||||||||||||Annual
16594|08/31/2020||||||||||||||||||||Annual
16616|08/31/2020||||||||||||||||||||Annual
16620|08/31/2020||0.261|0.63182|1.6689||0.261|0.63182|||||||||||||Semi Annual
16628|08/31/2020|0.0001|0.0373|0.1062|0.8244||||||||||0.0001|0.0373|0.1062||||Quarterly
16650|08/31/2020||||||||||||||||||||Quarterly
16651|08/31/2020||||||||||||||||||||Quarterly
16688|08/31/2020|0.07|0.56|0.84|4.0784||0.0461426|0.1079856|||||||0.07|0.5138574|0.6620144|||0.07|Monthly
16693|08/31/2020|0.0198277|0.1726716|0.2448643|4.6088|0.0198277|0.1726716|0.2448643|||||||||||||Monthly
16697|08/31/2020||||||||||||||||||||Annual
16703|08/31/2020|||0.0914941|0.3337|||0.0914941|||||||||||||Annual
16704|08/31/2020|||0.8194524|1.9335|||0.8194524|||||||||||||Annual
16705|08/31/2020|||0.6225423|1.9159|||0.6225423|||||||||||||Annual
16710|08/31/2020||||||||||||||||||||Monthly
16711|08/31/2020||||||||||||||||||||No Distribution
16724|08/31/2020||||||||||||||||||||No Distribution
16727|08/31/2020|||0.2121|0.7744|||0.044|||||||||0.1681||||Annual
16754|08/31/2020|||1.495|6.9651|||0.3398|||||||||1.1552||||Annual
16756|08/31/2020||||||||||||||||||||Annual
16757|08/31/2020||||||||||||||||||||Annual
16758|08/31/2020|||0.0494866|0.8249|||0.0175266||||||0.03196|||||||Annual
16759|08/31/2020|||0.0026473|0.034|||||||||0.0026473|||||||Annual
16774|08/31/2020||0.1617|0.1617|0.8002||0.1617|0.1617|||||||||||||Annual
16776|08/31/2020||0.0057|0.3185|2.7422||0.0057|0.0057||||||0.2961|||0.0167||||Quarterly
16782|08/31/2020||0.401113|0.856686|4.3164||0.303556|0.303556|||||0.097557|0.55313|||||||Quarterly
16783|08/31/2020||0.28056|0.625342|4.1097||0.210965|0.210965|||||0.069595|0.414377|||||||Quarterly
16784|08/31/2020||0.204129|0.820905|3.2479||0.204129|0.204129||||||0.616776|||||||Quarterly
16785|08/31/2020||0.141866|0.608658|3.1411||0.141866|0.141866||||||0.466792|||||||Quarterly
16788|08/31/2020||0.059188|0.719755|2.7445||0.059188|0.059188||||||0.660567|||||||Quarterly
16789|08/31/2020||0.041135|0.540954|2.6905||0.041135|0.041135||||||0.499819|||||||Quarterly
16792|08/31/2020||0.156116|0.180147|1.6568||0.06921|0.06921|||||0.086906|0.110937|||||||Quarterly
16794|08/31/2020|0.01863|0.14904|0.223561|3.8099||||||||||0.01863|0.14904|0.204931|||0.01863|Monthly
16803|08/31/2020||0.0207|0.7939|3.1397||0.0207|0.0494||||||0.7048|||0.0397||||Quarterly
