FundataKey|Date|NAVPS|MER|TotalAssets|DividendIncome|CapitalGains|ReturnOfCapital|DistributionTotal|SplitFactor|DistributionFrequency
10773|08/31/2020|10.7576|2.5|19.897073||||||Annual
10774|08/31/2020|26.8772|2.6|37.962976||||||Annual
10783|08/31/2020|3.7523||||||||Annual
10785|08/31/2020|15.3715|4.91|1.467143||||||No Distribution
10788|08/31/2020|7.6329|4.99|0.7627||||||No Distribution
10791|08/31/2020|38.5642|3.22|7.600159||||||No Distribution
10792|08/31/2020|5.4864|5.04|0.146104||||||No Distribution
10793|08/31/2020|17.5489|3.06|1.199296||||||No Distribution
10795|08/31/2020|20.8485|4.38|5.086793||||||No Distribution
10796|08/31/2020|11.7357|5.07|3.151348||||||No Distribution
10799|08/31/2020|12.1479|4.94|2.344487||||||No Distribution
10800|08/31/2020|23.4883|5.1|7.701179||||||No Distribution
10801|08/31/2020|19.0234|4.53|6.306872||||||No Distribution
10802|08/31/2020|13.3154|5.59|0.196506||||||No Distribution
10803|08/31/2020|13.8469|4.42|2.730912||||||No Distribution
10805|08/31/2020|12.2141|0.91|3.382659||||||No Distribution
10806|08/31/2020|24.824|4.45|3.637005||||||No Distribution
10807|08/31/2020|26.207|5.04|5.495851||||||No Distribution
10809|08/31/2020|17.319|1.22|1430.560653||||||Annual
10814|08/31/2020|19.5471|3.48|0.583111||||||Annual
10815|08/31/2020|32.0652|3.34|2.762699||||||No Distribution
10816|08/31/2020|22.9856|3.25|2.567122||||||No Distribution
10817|08/31/2020|12.6779|1.54|0.177559||||||No Distribution
10818|08/31/2020|26.6286|3.38|0.429011||||||No Distribution
10819|08/31/2020|17.2439|3.49|0.394111||||||No Distribution
10821|08/31/2020|18.8975|2.71|||||||Annual
10823|08/31/2020|17.6459|2.44|||||||Annual
10827|08/31/2020|26.9478|2.46|||||||Annual
10829|08/31/2020|16.385|2.44|||||||Annual
10830|08/31/2020|10|0.77|47.62501|0.0000001|||0.0000001||Monthly
10831|08/28/2020|3.3106|||0.000998|||0.000998||Monthly
10831|08/31/2020|3.3155||||||||Monthly
10832|08/31/2020|11.7458|1.16|1222.798528||||||Quarterly
10833|08/31/2020|9.8683|1.09|2637.92619|0.0106372|||0.0106372||Monthly
10834|08/31/2020|10.9308|1.24|72.251684||||||Annual
10836|08/31/2020|11.0966|1.19|150.170299||||||Annual
10837|08/31/2020|30.3793|1.18|775.257437||||||Annual
10838|08/31/2020|31.5011|1.14|847.320862||||||Annual
10839|08/31/2020|12.9145|1.25|674.326669||||||Annual
10843|08/31/2020|63.707|1.18|1820.442673||||||Annual
10844|08/31/2020|7.7799|2.45|289.510773||||||Quarterly
10851|08/31/2020|11.2152|2.44|274.593238||||||Quarterly
10857|08/31/2020|18.9142|2.33|616.256834||||||Quarterly
10860|08/31/2020|23.0419|2.33|57.451354||||||Quarterly
10862|08/31/2020|48.2589|2.34|181.602749||||||Quarterly
10863|08/31/2020|20.3382|2.45|114.920583||||||Quarterly
10867|08/31/2020|61.1874|2.34|656.645373||||||Quarterly
10870|08/31/2020|14.1891|2.45|397.937304||||||Quarterly
10871|08/31/2020|16.8537|2.45|251.677483||||||Quarterly
10874|08/31/2020|22.645|2.46|167.183938||||||Quarterly
10875|08/31/2020|10.4137|2.43|4.886477||||||Quarterly
10877|08/31/2020|10.5988|0.78|193.161572||||||Quarterly
10878|08/31/2020|5.9646||||||||Quarterly
10885|08/31/2020|8.5984||||||||Quarterly
10891|08/31/2020|14.5009||||||||Quarterly
10894|08/31/2020|17.6655|2.44|||||||Quarterly
10896|08/31/2020|36.9987||||||||Quarterly
10897|08/31/2020|15.5927||||||||Quarterly
10901|08/31/2020|46.9105||||||||Quarterly
10904|08/31/2020|10.8784||||||||Quarterly
10905|08/31/2020|12.9212||||||||Quarterly
10908|08/31/2020|17.3612||||||||Quarterly
10909|08/31/2020|7.9839||||||||Quarterly
10911|08/31/2020|8.1258||||||||Quarterly
10922|08/31/2020|20.6255|2.375842|142.690107||||||Annual
10923|08/31/2020|51.8862|2.918462|217.786931||||||Annual
10925|08/31/2020|2.0601|2.761818|184.902965|||0.019|0.019||Monthly
10926|08/31/2020|3.4722|2.32925|57.174804|||0.023971|0.027||Monthly
10930|08/31/2020|17.3882|2.577304|69.514941||||||Annual
10934|08/31/2020|4.983|2.5207|177.850271||||||Annual
10941|08/31/2020|23.7179|3.54|41.694242||||||No Distribution
10943|08/31/2020|10.9399|3.15|119.811151||||||No Distribution
10944|08/31/2020|6.8109|3.7|46.164936||||||No Distribution
10946|08/31/2020|13.3728|2.76|128.516753||||||No Distribution
10947|08/31/2020|22.8756|3|115.828151||||||No Distribution
10948|08/31/2020|19.5932|3.66|5.603858||||||No Distribution
10949|08/31/2020|19.8583|3.3|165.434717||||||No Distribution
10950|08/31/2020|29.4318|3.38|109.341131||||||No Distribution
10952|08/31/2020|21.4013|3.72|17.26608||||||No Distribution
10953|08/31/2020|28.5956|3.65|166.091737||||||No Distribution
10955|08/31/2020|29.2052|3.53|28.044565||||||No Distribution
10956|08/31/2020|24.9021|3.35|120.194523||||||No Distribution
10961|08/31/2020|26.0307|3.19|102.027152||||||No Distribution
10963|08/31/2020|17.7152|3.51|66.244721||||||No Distribution
10965|08/31/2020|41.6971|3.5|114.134187||||||No Distribution
10966|08/31/2020|23.3182|2.87|140.94216||||||No Distribution
10967|08/31/2020|42.0905|2.61|1011.305758||||||No Distribution
10968|08/31/2020|11.3368|3.03|19.139623||||||No Distribution
10969|08/31/2020|19.2362|2.5|660.776626||||||No Distribution
10970|08/31/2020|12.3045|3.09|197.915018||||||No Distribution
10971|08/31/2020|12.1569|2.55|140.906548||||||No Distribution
10972|08/31/2020|17.3303|2.87|146.286955||||||No Distribution
10973|08/31/2020|12.7403|1.45|331.763143||||||No Distribution
10974|08/31/2020|13.4052|1.05|11.491159||||||No Distribution
10990|08/31/2020|22.8807|3.6|10.220023||||||No Distribution
10991|08/31/2020|18.7587|2.43|19.269423||||||No Distribution
10994|08/31/2020|21.1111||1.131333||||||No Distribution
10996|08/31/2020|9.9201|3.64|18.648589||||||No Distribution
10997|08/31/2020|25.8657|3.51|135.919744||||||No Distribution
10998|08/31/2020|17.3887|3.56|6.413509||||||No Distribution
10999|08/31/2020|26.668|3.73|126.529418||||||No Distribution
11007|08/31/2020|13.3453|2.577304|||||||Annual
11015|08/31/2020|21.666801|3.48|0.760087||||||No Distribution
11024|08/31/2020|23.9239||||||||Annual
11025|08/31/2020|31.1834|2.5|||||||Annual
11026|08/31/2020|33.5383|2.5|||||||Annual
11027|08/31/2020|32.861|2.51|||||||Annual
11028|08/28/2020|8.0861|||0.059|||0.059||Monthly
11028|08/31/2020|8.0141|2.743453|91.978567||||||Monthly
11029|08/31/2020|22.1764|2.585009|81.838037||||||Annual
11032|08/31/2020|22.6255|2.695914|17.448921||||||Annual
11063|08/31/2020|30.0632||||||||No Distribution
11064|08/31/2020|28.4775||||||||No Distribution
11065|08/31/2020|28.5189||||||||No Distribution
11066|08/31/2020|28.3586||||||||No Distribution
11067|08/31/2020|30.5645||||||||No Distribution
11068|08/31/2020|23.9918||||||||No Distribution
11069|08/31/2020|22.7539||||||||No Distribution
11070|08/31/2020|34.0347||||||||No Distribution
11071|08/31/2020|28.9151||||||||No Distribution
11072|08/31/2020|21.1008||||||||No Distribution
11073|08/31/2020|21.0991||||||||No Distribution
11074|08/31/2020|22.7666||||||||No Distribution
11075|08/31/2020|29.2223||||||||No Distribution
11076|08/31/2020|26.6918||||||||No Distribution
11077|08/31/2020|34.6454||||||||No Distribution
11078|08/31/2020|28.6513||||||||No Distribution
11079|08/31/2020|21.9529||||||||No Distribution
11080|08/31/2020|20.5871||||||||No Distribution
11088|08/31/2020|12.1232|2.84|5.331149||||||No Distribution
11089|08/31/2020|12.0733|2.84|6.474207||||||No Distribution
11090|08/31/2020|11.1155|2.88|7.007004||||||No Distribution
11118|08/31/2020|13.1769|0.94|17.384356||||||Quarterly
11122|08/31/2020|10.6668|1|22.582729||||||Annual
11123|08/31/2020|9.2098|1.05|92.940136||||||Annual
11124|08/31/2020|8.3124||||||||Quarterly
11127|08/31/2020|9.997|1.68|||||||Annual
11128|08/31/2020|8.7395|1.75|||||||Annual
11134|08/31/2020|8.2916|2.28|241.739331||||||Quarterly
11138|08/31/2020|43.8944|2.43|0.703368||||||Annual
11139|08/31/2020|37.4262|2.19|2.831482||||||Annual
11140|08/31/2020|10.9516|2.45|177.890185||||||Annual
11141|08/31/2020|10.9336|2.5|478.113689||||||Annual
11142|08/31/2020|29.0173|2.51|0.801823||||||Annual
11143|08/31/2020|27.3033|2.2|71.627695||||||Annual
11144|08/31/2020|4.8557||24.559||||||Annual
11147|08/31/2020|8.3901|2.5|366.889374||||||Annual
11155|08/31/2020|39.772|2.39537|198.775269||||||Annual
11158|08/31/2020|13.05|2.382266|1031.463304||||||Annual
11161|08/31/2020|22.093|2.124096|381.13823||||||Quarterly
11162|08/31/2020|16.51|2.401243|1038.460045||||||Annual
11165|08/31/2020|32.704|2.386259|187.920082||||||Annual
11166|08/31/2020|17.759|2.29146|133.043143||||||Quarterly
11168|08/28/2020|4.221||||||0.0035||Monthly
11168|08/31/2020|4.222|1.226231|543.559224||||||Monthly
11169|08/31/2020|37.83|2.433421|951.503085||||||Annual
11170|08/31/2020|10.005|1.263086|134.192279||||0.000904||Monthly
11171|08/28/2020|6.08||||||0.007||Monthly
11171|08/31/2020|6.094|1.422057|8173.121733||||||Monthly
11172|08/31/2020|22.764|2.252844|546.82386||||||Quarterly
11197|08/31/2020|33.3657|2.33|201.302||||||Quarterly
11201|08/31/2020|22.1317|2.46|219.131||||||Quarterly
11202|08/31/2020|14.5312|2.73|730.803||||||Annual
11205|08/31/2020|18.8777|2.42|||||||Annual
11207|08/31/2020|24.609|2.42|911.932||||||Annual
11208|08/31/2020|9.4368|1.32|228.496||||||Monthly
11209|08/28/2020|10.03|||0.012965|||0.0555||Monthly
11209|08/31/2020|9.8875|1.55|527.744||||||Monthly
11210|08/28/2020|15.58||||||0.018||Monthly
11210|08/31/2020|15.396|1.6|1023.175||||||Monthly
11211|08/31/2020|30.6385|2.41|54.696||||||Annual
11212|08/31/2020|34.5842|2.43|201.187||||||Annual
11213|08/31/2020|42.6701|2.31|1266.837||||||Annual
11219|08/28/2020|5.65||||||0.00997||Monthly
11219|08/31/2020|5.664|1.54|2434.759||||||Monthly
11222|08/31/2020|30.0661|2.34|203.781||||||Annual
11223|08/31/2020|23.0639|2.34|||||||Annual
