FundataKey|FundservCode|LoadType|ServiceFeeRate|ServiceFeeFrequency
10690|DYN7036|Low Service Charge||
10692|DYN1202|Front End Load||
10692|DYN1402|Front End Load||
10692|DYN202|Front End Load||
10692|DYN2060|Front End Load||
10692|DYN2061|Deferred Sales Charge (Back End Load)||
10692|DYN2066|Low Service Charge||
10692|DYN212|Low Service Charge||
10692|DYN302|Deferred Sales Charge (Back End Load)||
10692|DYN312|Deferred Sales Charge (Back End Load)||
10692|DYN3302|Front End Load||
10692|DYN3402|Low Service Charge||
10692|DYN3502|Deferred Sales Charge (Back End Load)||
10692|DYN7034|Low Service Charge||
10692|DYN8671|Deferred Sales Charge (Back End Load)||
10692|DYN8771|Deferred Sales Charge (Back End Load)||
10692|DYN8871|Deferred Sales Charge (Back End Load)||
10698|CGF001|Front End Load||
10698|CGF100|Deferred Sales Charge (Back End Load)||
10698|CGF211|Low Service Charge||
10700|CGF004|Front End Load||
10700|CGF204|Deferred Sales Charge (Back End Load)||
10700|CGF304|Low Service Charge||
10702|CGI100|No Load||
10703|CHO100|Front End Load||
10704|CHO102|Front End Load||
10708|CIG1847|Low Service Charge||
10708|CIG1941|Low Service Charge||
10708|CIG837|Front End Load||
10708|CIG847|Deferred Sales Charge (Back End Load)||
10709|CIG14213|Deferred Sales Charge (Back End Load)||
10709|CIG1810|Low Service Charge||
10709|CIG610|Front End Load||
10709|CIG810|Deferred Sales Charge (Back End Load)||
10710|CIG14204|Deferred Sales Charge (Back End Load)||
10710|CIG1646|Low Service Charge||
10710|CIG646|Deferred Sales Charge (Back End Load)||
10710|CIG662|Front End Load||
10718|CIG14206|Deferred Sales Charge (Back End Load)||
10718|CIG1644|Low Service Charge||
10718|CIG6355|Deferred Sales Charge (Back End Load)||
10718|CIG644|Deferred Sales Charge (Back End Load)||
10718|CIG654|Front End Load||
10735|CIG1648|Low Service Charge||
10735|CIG648|Deferred Sales Charge (Back End Load)||
10735|CIG649|Front End Load||
10736|CIG14216|Deferred Sales Charge (Back End Load)||
10736|CIG1621|Low Service Charge||
10736|CIG621|Deferred Sales Charge (Back End Load)||
10736|CIG622|Front End Load||
10738|CIG1641|Low Service Charge||
10738|CIG641|Deferred Sales Charge (Back End Load)||
10738|CIG651|Initial Service Charge||
10740|CIG1811|Low Service Charge||
10740|CIG611|Front End Load||
10740|CIG811|Deferred Sales Charge (Back End Load)||
10744|CIG14205|Deferred Sales Charge (Back End Load)||
10744|CIG1623|Low Service Charge||
10744|CIG623|Deferred Sales Charge (Back End Load)||
10744|CIG624|Front End Load||
10745|CIB477|No Load||
10747|CIB485|No Load||
10750|CIB491|No Load||
10751|CIB498|No Load||
10752|CIB479|No Load||
10753|CIB494|No Load||
10754|CIB488|No Load||
10755|CIB505|No Load||
10756|CIB476|No Load||
10757|CIB490|No Load||
10758|CIB478|No Load||
10759|CIB496|No Load||
10760|CIB507|No Load||
10761|CIB486|No Load||
10762|CIB504|No Load||
10764|CIB502|No Load||
10765|CIB512|No Load||
10766|CIB483|No Load||
10767|CIB480|No Load||
10768|CIB475|No Load||
10770|CIB497|No Load||
10771|CIB482|No Load||
10772|CIB506|No Load||
10773|CIB493|No Load||
10774|CIB495|No Load||
10783|CIG910|Deferred Sales Charge (Back End Load)||
10783|CIG912|Deferred Sales Charge (Back End Load)||
10783|CIG961|Deferred Sales Charge (Back End Load)||
10783|CIG980|Deferred Sales Charge (Back End Load)||
10783|CIG981|Deferred Sales Charge (Back End Load)||
10783|CIG982|Deferred Sales Charge (Back End Load)||
10785|CIG032|Front End Load||
10785|CIG932|Deferred Sales Charge (Back End Load)||
10788|CIG047|Front End Load||
10788|CIG947|Deferred Sales Charge (Back End Load)||
10791|CIG052|Front End Load||
10791|CIG952|Deferred Sales Charge (Back End Load)||
10792|CIG051|Front End Load||
10792|CIG951|Deferred Sales Charge (Back End Load)||
10793|CIG044|Front End Load||
10793|CIG944|Deferred Sales Charge (Back End Load)||
10795|CIG042|Front End Load||
10795|CIG942|Deferred Sales Charge (Back End Load)||
10796|CIG036|Front End Load||
10796|CIG936|Deferred Sales Charge (Back End Load)||
10799|CIG034|Front End Load||
10799|CIG934|Deferred Sales Charge (Back End Load)||
10800|CIG030|Front End Load||
10800|CIG930|Deferred Sales Charge (Back End Load)||
10801|CIG031|Front End Load||
10801|CIG931|Deferred Sales Charge (Back End Load)||
10802|CIG046|Front End Load||
10802|CIG946|Deferred Sales Charge (Back End Load)||
10803|CIG038|Front End Load||
10803|CIG938|Deferred Sales Charge (Back End Load)||
10805|CIG045|Front End Load||
10805|CIG945|Deferred Sales Charge (Back End Load)||
10806|CIG040|Front End Load||
10806|CIG940|Deferred Sales Charge (Back End Load)||
10807|CIG041|Front End Load||
10807|CIG941|Deferred Sales Charge (Back End Load)||
10809|CIB901|No Load||
10814|CIG025|Front End Load||
10814|CIG925|Deferred Sales Charge (Back End Load)||
10815|CIG021|Front End Load||
10815|CIG921|Deferred Sales Charge (Back End Load)||
10816|CIG022|Front End Load||
10816|CIG922|Deferred Sales Charge (Back End Load)||
10817|CIG020|Front End Load||
10817|CIG920|Deferred Sales Charge (Back End Load)||
10818|CIG023|Front End Load||
10818|CIG923|Deferred Sales Charge (Back End Load)||
10819|CIG024|Front End Load||
10819|CIG924|Deferred Sales Charge (Back End Load)||
10821|CIG1549|Low Service Charge||
10821|CIG546|Front End Load||
10821|CIG549|Deferred Sales Charge (Back End Load)||
10823|CIG113|Front End Load||
10823|CIG1543|Low Service Charge||
10823|CIG543|Deferred Sales Charge (Back End Load)||
10827|CIG1548|Low Service Charge||
10827|CIG545|Front End Load||
10827|CIG548|Deferred Sales Charge (Back End Load)||
10829|CIG1547|Low Service Charge||
10829|CIG544|Front End Load||
10829|CIG547|Deferred Sales Charge (Back End Load)||
10830|CIG125|Front End Load||
10830|CIG1525|Low Service Charge||
10830|CIG525|Deferred Sales Charge (Back End Load)||
10831|CIG110|Front End Load||
10831|CIG1540|Low Service Charge||
10831|CIG540|Deferred Sales Charge (Back End Load)||
10832|CIB503|No Load||
10833|CIB489|No Load||
10834|CIB513|No Load||
10836|CIB511|No Load||
10837|CIB500|No Load||
10838|CIB300|No Load||
10839|CIB510|No Load||
10843|CIB484|No Load||
10844|CIG11329|Low Service Charge||
10844|CIG14119|Front End Load||
10844|CIG14219|Deferred Sales Charge (Back End Load)||
10844|CIG1794|Low Service Charge||
10844|CIG294|Front End Load||
10844|CIG794|Deferred Sales Charge (Back End Load)||
10851|CIG14223|Deferred Sales Charge (Back End Load)||
10851|CIG1797|Low Service Charge||
10851|CIG297|Initial Service Charge||
10851|CIG797|Deferred Sales Charge (Back End Load)||
10857|CIG1276|Low Service Charge||
10857|CIG14228|Deferred Sales Charge (Back End Load)||
10857|CIG276|Deferred Sales Charge (Back End Load)||
10857|CIG277|Front End Load||
10860|CIG1781|Low Service Charge||
10860|CIG281|Front End Load||
10860|CIG781|Deferred Sales Charge (Back End Load)||
10862|CIG1701|Low Service Charge||
10862|CIG201|Front End Load||
10862|CIG701|Deferred Sales Charge (Back End Load)||
10863|CIG14230|Deferred Sales Charge (Back End Load)||
10863|CIG1667|Low Service Charge||
10863|CIG6346|Deferred Sales Charge (Back End Load)||
10863|CIG660|Front End Load||
10863|CIG667|Deferred Sales Charge (Back End Load)||
10867|CIG1703|Low Service Charge||
10867|CIG203|Front End Load||
10867|CIG703|Deferred Sales Charge (Back End Load)||
10870|CIG14235|Deferred Sales Charge (Back End Load)||
10870|CIG1705|Low Service Charge||
10870|CIG205|Front End Load||
10870|CIG705|Deferred Sales Charge (Back End Load)||
10871|CIG14233|Deferred Sales Charge (Back End Load)||
10871|CIG1706|Low Service Charge||
10871|CIG206|Front End Load||
10871|CIG6340|Deferred Sales Charge (Back End Load)||
10871|CIG706|Deferred Sales Charge (Back End Load)||
10874|CIG1278|Low Service Charge||
10874|CIG14244|Deferred Sales Charge (Back End Load)||
10874|CIG278|Deferred Sales Charge (Back End Load)||
10874|CIG279|Front End Load||
10875|CIG1664|Low Service Charge||
10875|CIG657|Initial Service Charge||
10875|CIG664|Deferred Sales Charge (Back End Load)||
10877|CIG14296|Deferred Sales Charge (Back End Load)||
10877|CIG1668|Low Service Charge||
10877|CIG6358|Deferred Sales Charge (Back End Load)||
10877|CIG661|Front End Load||
10877|CIG668|Deferred Sales Charge (Back End Load)||
10878|CIG1194|Low Service Charge||
10878|CIG194|Deferred Sales Charge (Back End Load)||
10878|CIG394|Front End Load||
10885|CIG1497|Low Service Charge||
10885|CIG397|Front End Load||
10885|CIG497|Deferred Sales Charge (Back End Load)||
10891|CIG1476|Low Service Charge||
10891|CIG377|Front End Load||
10891|CIG476|Deferred Sales Charge (Back End Load)||
10894|CIG1481|Low Service Charge||
10894|CIG381|Front End Load||
10894|CIG481|Deferred Sales Charge (Back End Load)||
10896|CIG1401|Low Service Charge||
10896|CIG301|Initial Service Charge||
10896|CIG401|Deferred Sales Charge (Back End Load)||
10897|CIG1467|Low Service Charge||
10897|CIG360|Initial Service Charge||
10897|CIG467|Deferred Sales Charge (Back End Load)||
10897|CIG6347|Deferred Sales Charge (Back End Load)||
10901|CIG1403|Low Service Charge||
10901|CIG303|Front End Load||
10901|CIG403|Deferred Sales Charge (Back End Load)||
10904|CIG1405|Low Service Charge||
10904|CIG305|Front End Load||
10904|CIG405|Deferred Sales Charge (Back End Load)||
10905|CIG1406|Low Service Charge||
10905|CIG306|Front End Load||
10905|CIG406|Deferred Sales Charge (Back End Load)||
10905|CIG6341|Deferred Sales Charge (Back End Load)||
10908|CIG1478|Low Service Charge||
10908|CIG379|Front End Load||
10908|CIG478|Deferred Sales Charge (Back End Load)||
10909|CIG1464|Low Service Charge||
10909|CIG357|Front End Load||
10909|CIG464|Deferred Sales Charge (Back End Load)||
10911|CIG361|Front End Load||
10911|CIG468|Deferred Sales Charge (Back End Load)||
10922|CCM400|Front End Load||
10922|CCM401|Deferred Sales Charge (Back End Load)||
10922|CCM955|Low Service Charge||
10923|CCM520|Front End Load||
10923|CCM521|Deferred Sales Charge (Back End Load)||
10923|CCM975|Low Service Charge||
10925|CCM510|Front End Load||
10925|CCM511|Deferred Sales Charge (Back End Load)||
10925|CCM970|Low Service Charge||
10926|CCM420|Front End Load||
10926|CCM421|Deferred Sales Charge (Back End Load)||
10926|CCM960|Low Service Charge||
10930|CCM340|Front End Load||
10930|CCM341|Deferred Sales Charge (Back End Load)||
10930|CCM935|Low Service Charge||
10934|CCM150|Front End Load||
10934|CCM151|Deferred Sales Charge (Back End Load)||
10934|CCM905|Low Service Charge||
10941|CLA102|Deferred Sales Charge (Back End Load)||
10941|CLA1102|No Load||
10943|CLA1178|No Load||
10943|CLA178|Deferred Sales Charge (Back End Load)||
10944|CLA1182|No Load||
10944|CLA182|Deferred Sales Charge (Back End Load)||
10946|CLA1167|No Load||
10946|CLA167|Deferred Sales Charge (Back End Load)||
10947|CLA1189|No Load||
10947|CLA189|Deferred Sales Charge (Back End Load)||
10948|CLA101|Deferred Sales Charge (Back End Load)||
10948|CLA1101|No Load||
10949|CLA104|Deferred Sales Charge (Back End Load)||
10949|CLA1104|No Load||
10950|CLA103|Deferred Sales Charge (Back End Load)||
10950|CLA1103|No Load||
10952|CLA105|Deferred Sales Charge (Back End Load)||
10952|CLA1105|No Load||
10953|CLA1183|No Load||
10953|CLA183|Deferred Sales Charge (Back End Load)||
10955|CLA1175|No Load||
10955|CLA175|Deferred Sales Charge (Back End Load)||
10956|CLA1190|No Load||
10956|CLA190|Deferred Sales Charge (Back End Load)||
10961|CLA1191|No Load||
10961|CLA191|Deferred Sales Charge (Back End Load)||
10963|CLA1184|No Load||
10963|CLA184|Deferred Sales Charge (Back End Load)||
10965|CLA1176|No Load||
